title,difficulty,category
"Mrs. Doubtfire (1993)",1,Movie,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife."
"Beauty and the Beast (1991)",1,Movie,"A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love."
"Ted (2012)",1,Movie,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori."
"King Kong (2005)",1,Movie,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives."
"Ghost (1990)",1,Movie,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic."
"How to Train Your Dragon (2010)",1,Movie,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
"The Da Vinci Code (2006)",1,Movie,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity."
"Aladdin (1992)",1,Movie,"A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true."
"Alvin and the Chipmunks (2007)",1,Movie,"Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous."
"Saving Private Ryan (1998)",1,Movie,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
"Bohemian Rhapsody (2018)",1,Movie,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid."
"Ant-Man and the Wasp (2018)",1,Movie,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past."
"Madagascar Europe's Most Wanted (2012)",1,Movie,"The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal control officer."
"Kung Fu Panda (2008)",1,Movie,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way."
"Mission: Impossible II (2000)",1,Movie,"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called "Chimera"."
"A Star Is Born (2018)",1,Movie,"A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral."
"XX-Men United (2003)",1,Movie,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him."
"The Lorax (2012)",1,Movie,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world."
"Solo: A Star Wars Story (2018)",1,Movie,"Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes."
"Venom (2018)",1,Movie,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it."
"Austin Powers in Goldmember (2002)",1,Movie,"Upon learning that his father has been kidnapped, Austin Powers must travel to 19and defeat the aptly named villain Goldmember, who is working with Dr. Evil."
"Venom: Let There Be Carnage (2021)",1,Movie,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution."
"It Chapter Two (2019)",1,Movie,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back."
"Back to the Future (1985)",1,Movie,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
"3(2006)",1,Movie,"King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C."
"Coco (2017)",1,Movie,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
"Fast Five (2011)",1,Movie,"Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent."
"Mission: Impossible - Ghost Protocol (2011)",1,Movie,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name."
"Wedding Crashers (2005)",1,Movie,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary."
"Sherlock Holmes (2009)",1,Movie,"Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England."
"Dawn of the Planet of the Apes (2014)",1,Movie,"A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier."
"Batman Begins (2005)",1,Movie,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
"Charlie and the Chocolate Factory (2005)",1,Movie,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
"Ratatouille (2007)",1,Movie,"A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant."
"Thor: The Dark World (2013)",1,Movie,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster."
"Bad Boys for Life (2020)",1,Movie,"Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city."
"Austin Powers: The Spy Who Shagged Me (1999)",1,Movie,"Dr. Evil is back and has invented a new time machine that allows him to go back to the 196and steal Austin Powers' mojo, inadvertently leaving him "shagless"."
"Terminator Judgment Day (1991)",1,Movie,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg."
"The Amazing Spider-Man 2 (2014)",1,Movie,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones."
"World War Z (2013)",1,Movie,"Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself."
"The Mummy Returns (2001)",1,Movie,"The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror."
"Armageddon (1998)",1,Movie,"After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, NASA recruits a misfit team of deep-core drillers to save the planet."
"Cinderella (2015)",1,Movie,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
"Ralph Breaks the Internet (2018)",1,Movie,"Six years after the events of "Wreck-It Ralph," Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure."
"Tangled (2010)",1,Movie,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
"Godzilla (2014)",1,Movie,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity."
"Superman Returns (2006)",1,Movie,"Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world."
"Spectre (2015)",1,Movie,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions."
"Pearl Harbor (2001)",1,Movie,"A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941."
"Monsters vs. Aliens (2009)",1,Movie,"A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth."
"Happy Feet (2006)",1,Movie,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!"
"Indiana Jones and the Last Crusade (1989)",1,Movie,"In 193after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry "Indiana" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
"Ice Age: Dawn of the Dinosaurs (2009)",1,Movie,"When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him."
"Ice Age: The Meltdown (2006)",1,Movie,"Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths."
"Mission: Impossible - Rogue Nation (2015)",1,Movie,"Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF."
"Twilight (2008)",1,Movie,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire."
"Men in Black II (2002)",1,Movie,"Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past."
"Madagascar (2005)",1,Movie,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild."
"Jump Street (2014)",1,Movie,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
"Cars 2 (2011)",1,Movie,"Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage."
"Teenage Mutant Ninja Turtles (2014)",1,Movie,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home."
"Spider-Man: Into the Spider-Verse (2018)",1,Movie,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
"Grease (1978)",1,Movie,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
"Dunkirk (2017)",1,Movie,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
"Wreck-It Ralph (2012)",1,Movie,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
"A Quiet Place (2018)",1,Movie,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing."
"Interstellar (2014)",1,Movie,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
"The Polar Express (2004)",1,Movie,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas."
"Gladiator (2000)",1,Movie,"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
"The Croods (2013)",1,Movie,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy."
"Sherlock Holmes: A Game of Shadows (2011)",1,Movie,"Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe."
"The Day After Tomorrow (2004)",1,Movie,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age."
"Mr. & Mrs. Smith (2005)",1,Movie,"A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other."
"Snow White and the Seven Dwarfs (1937)",1,Movie,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
"Pitch Perfect 2 (2015)",1,Movie,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform."
"Dances with Wolves (1990)",1,Movie,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military."
"Batman Forever (1995)",1,Movie,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin."
"The Fugitive (1993)",1,Movie,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
"Black Widow (2021)",1,Movie,"Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises."
"The Revenant (2015)",1,Movie,"A frontiersman on a fur trading expedition in the 182fights for survival after being mauled by a bear and left for dead by members of his own hunting team."
"Ocean's Eleven (2001)",1,Movie,"Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously."
"The Simpsons Movie (2007)",1,Movie,"After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives."
"What Women Want (2000)",1,Movie,"A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking."
"The Perfect Storm (2000)",1,Movie,"An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger."
"Lincoln (2012)",1,Movie,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
"Liar Liar (1997)",1,Movie,"A fast-track lawyer can't lie for hours due to his son's birthday wish after he disappoints his son for the last time."
"Jurassic Park III (2001)",1,Movie,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants."
"Thor (2011)",1,Movie,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
"Mission: Impossible (1996)",1,Movie,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization."
"Ant-Man (2015)",1,Movie,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world."
"Planet of the Apes (2001)",1,Movie,"In 202an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans."
"Madagascar: Escape 2 Africa (2008)",1,Movie,"The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride."
"X-Men Origins: Wolverine (2009)",1,Movie,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine."
"Indiana Jones and the Temple of Doom (1984)",1,Movie,"In 193Indiana Jones arrives in India, still part of the British Empire, and is asked to find a mystical stone. He then stumbles upon a secret cult committing enslavement and human sacrifices in the catacombs of an ancient palace."
"Hitch (2005)",1,Movie,"A smooth-talking man falls for a hardened columnist while helping a shy accountant woo a beautiful heiress."
"Men in Black 3 (2012)",1,Movie,"Agent J travels in time to M.I.B.'s early days in 19to stop an alien from assassinating his friend Agent K and changing history."
"Pretty Woman (1990)",1,Movie,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love."
"Home (2015)",1,Movie,"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference."
"Night at the Museum: Battle of the Smithsonian (2009)",1,Movie,"Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake."
"Tootsie (1982)",1,Movie,"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap."
"How to Train Your Dragon 2 (2014)",1,Movie,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
"Rise of the Planet of the Apes (2011)",1,Movie,"A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising."
"Captain America: The First Avenger (2011)",1,Movie,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a "Super-Soldier serum". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization."
"Elf (2003)",1,Movie,"Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit."
"The Karate Kid (2010)",1,Movie,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master."
"There's Something About Mary (1998)",1,Movie,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster."
"Ice Age (2002)",1,Movie,"The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat."
"The Bourne Supremacy (2004)",1,Movie,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
"The Lego Batman Movie (2017)",1,Movie,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick."
"Us (2019)",1,Movie,"A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them."
"The Boss Baby (2017)",1,Movie,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co."
"Crazy Rich Asians (2018)",1,Movie,"This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family."
"The Greatest Showman (2017)",1,Movie,"Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation."
"Fast & Furious Presents: Hobbs & Shaw (2019)",1,Movie,"Lawman Luke Hobbs (Dwayne "The Rock" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity."
"Apollo (1995)",1,Movie,"NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy."
"Home Alone Lost in New York (1992)",1,Movie,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind."
"National Treasure (2004)",1,Movie,"A historian races to find the legendary Templar Treasure before a team of mercenaries."
"FThe Fast Saga (2021)",1,Movie,"Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother."
"Air Force One (1997)",1,Movie,"Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board."
"Rain Man (1988)",1,Movie,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
"Pirates of the Caribbean: Dead Men Tell No Tales (2017)",1,Movie,"Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack."
"TRON: Legacy (2010)",1,Movie,"The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world."
"Mary Poppins Returns (2018)",1,Movie,"A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives."
"The Matrix (1999)",1,Movie,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
"True Grit (2010)",1,Movie,"A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer."
"Tarzan (1999)",1,Movie,"A man raised by gorillas must decide where he really belongs when he discovers he is a human."
"John Wick: Chapter 3 - Parabellum (2019)",1,Movie,"John Wick is on the run after killing a member of the international assassins' guild, and with a $million price tag on his head, he is the target of hit men and women everywhere."
"A Beautiful Mind (2001)",1,Movie,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
"Chicago (2002)",1,Movie,"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention."
"The Help (2011)",1,Movie,"An aspiring author during the civil rights movement of the 196decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
"Hotel Transylvania 2 (2015)",1,Movie,"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel."
"Hidden Figures (2016)",1,Movie,"The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program."
"Bridesmaids (2011)",1,Movie,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
"Quantum of Solace (2008)",1,Movie,"James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource."
"Wild Hogs (2007)",1,Movie,"A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos."
"Kong: Skull Island (2017)",1,Movie,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden."
"Three Men and a Baby (1987)",1,Movie,"Three bachelors find themselves forced to take care of a baby left by one of the guys' girlfriends."
"Gone Girl (2014)",1,Movie,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
"Hotel Transylvania Summer Vacation (2018)",1,Movie,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family."
"Casino Royale (2006)",1,Movie,"After earning status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
"Meet the Parents (2000)",1,Movie,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."
"Fifty Shades of Grey (2015)",1,Movie,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
"20(2009)",1,Movie,"A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind."
"Robin Hood: Prince of Thieves (1991)",1,Movie,"Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham."
"Knives Out (2019)",1,Movie,"A detective investigates the death of a patriarch of an eccentric, combative family."
"Kung Fu Panda 2 (2011)",1,Movie,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past."
"Hannibal (2001)",1,Movie,"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target for revenge from a powerful victim."
"Eternals (2021)",1,Movie,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations."
"Catch Me If You Can (2002)",1,Movie,"Barely yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
"The Proposal (2009)",1,Movie,"A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada."
"The Pursuit of Happyness (2006)",1,Movie,"A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career."
"Big Daddy (1999)",1,Movie,"A lazy law-school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father."
"Clash of the Titans (2010)",1,Movie,"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth."
"The SpongeBob Movie: Sponge Out of Water (2015)",1,Movie,"When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back."
"Batman Returns (1992)",1,Movie,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta."
"Django Unchained (2012)",1,Movie,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
"A Bug's Life (1998)",1,Movie,"A misfit ant, looking for "warriors" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe."
"Jason Bourne (2016)",1,Movie,"The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past."
"Grown Ups (2010)",1,Movie,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
"The Waterboy (1998)",1,Movie,"A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team."
"Ice Age: Continental Drift (2012)",1,Movie,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world."
"Straight Outta Compton (2015)",1,Movie,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-198and revolutionizes Hip Hop culture with their music and tales about life in the hood."
"Die Another Day (2002)",1,Movie,"James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon."
"Shark Tale (2004)",1,Movie,"When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother decide to use the incident to their own advantage."
"How to Train Your Dragon: The Hidden World (2019)",1,Movie,"When Hiccup discovers Toothless isn't the only Night Fury, he must seek "The Hidden World", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first."
"No Time to Die (2021)",1,Movie,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
"A Quiet Place Part II (2020)",1,Movie,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path."
"The Heat (2013)",1,Movie,"An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord."
"Fantastic Beasts: The Crimes of Grindelwald (2018)",1,Movie,"The second installment of the "Fantastic Beasts" series featuring the adventures of Magizoologist Newt Scamander."
"Halloween (2018)",1,Movie,"Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago."
"19(2019)",1,Movie,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
"The Secret Life of Pets 2 (2019)",1,Movie,"Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day."
"Star Trek Beyond (2016)",1,Movie,"The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test."
"The Firm (1993)",1,Movie,"A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side."
"The Longest Yard (2005)",1,Movie,"Prison inmates form a football team to challenge the prison guards."
"X-Men (2000)",1,Movie,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men."
"Scary Movie (2000)",1,Movie,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer."
"Who Framed Roger Rabbit (1988)",1,Movie,"A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder."
"What Lies Beneath (2000)",1,Movie,"The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind."
"X-Men: Apocalypse (2016)",1,Movie,"In the 198the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world."
"The Mummy (1999)",1,Movie,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love."
"Snow White and the Huntsman (2012)",1,Movie,"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen."
"San Andreas (2015)",1,Movie,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter."
"Fast & Furious (2009)",1,Movie,"Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation."
"Over the Hedge (2006)",1,Movie,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself."
