title,difficulty,category
"Pirates of the Caribbean: At World's End (2007)",1,Movie,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle."
"Star Wars: Episode VI - Return of the Jedi (1983)",1,Movie,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
"Independence Day (1996)",1,Movie,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive."
"Pirates of the Caribbean: The Curse of the Black Pearl (2003)",1,Movie,"Blacksmith Will Turner teams up with eccentric pirate "Captain" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
"Skyfall (2012)",1,Movie,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 0must track down and destroy the threat, no matter how personal the cost."
"The Hobbit: An Unexpected Journey (2012)",1,Movie,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
"Harry Potter and the Half-Blood Prince (2009)",1,Movie,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as "the property of the Half-Blood Prince" and begins to learn more about Lord Voldemort's dark past."
"The Twilight Saga: Eclipse (2010)",1,Movie,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob."
"The Twilight Saga: New Moon (2009)",1,Movie,"Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black."
"Harry Potter and the Deathly Hallows: Part 1 (2010)",1,Movie,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
"The Sixth Sense (1999)",1,Movie,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."
"Up (2009)",1,Movie,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
"Star Wars: Episode V - The Empire Strikes Back (1980)",1,Movie,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
